cod_area;longitude;latitude;pk_sensor;gs;p1_c;p1_w;p2_c;p2_w;p3;p4_c;p4_w;sws;ews;ID_rain_gauge
LIG;8.4667;44.3664;20176;0.2;6;3;12;6;1;96;48;5;9;4436640084667
LIG;9.883;44.3692;50173;0.2;6;3;12;6;1;96;48;5;9;4436920098830
LIG;8.1911;44.3696;50053;0.2;6;3;12;6;1;96;48;5;9;4436960081911
LIG;9.8926;44.3696;50168;0.2;6;3;12;6;1;96;48;5;9;4436960098926
LIG;9.4577;44.3749;39602;0.2;6;3;12;6;1;96;48;5;9;4437490094577
LIG;8.5556;44.3824;40050;0.2;6;3;12;6;1;96;48;5;9;4438240085556
LIG;9.5842;44.3831;39621;0.2;6;3;12;6;1;96;48;5;9;4438310095842
LIG;9.0607;44.384;40036;0.2;6;3;12;6;1;96;48;5;9;4438400090607
LIG;9.271;44.3937;50025;0.2;6;3;12;6;1;96;48;5;9;4439370092710
LIG;8.9459;44.4004;39555;0.2;6;3;12;6;1;96;48;5;9;4440040089459
LIG;8.2722;44.4023;50133;0.2;6;3;12;6;1;96;48;5;9;4440230082722
LIG;9.0932;44.4029;19952;0.2;6;3;12;6;1;96;48;5;9;4440290090932
LIG;8.6477;44.4035;20182;0.2;6;3;12;6;1;96;48;5;9;4440350086477
LIG;9.6205;44.4053;22457;0.2;6;3;12;6;1;96;48;5;9;4440530096205
LIG;8.6246;44.4064;50003;0.2;6;3;12;6;1;96;48;5;9;4440640086246
LIG;8.526;44.4067;20178;0.2;6;3;12;6;1;96;48;5;9;4440670085260
LIG;9.5338;44.4068;50008;0.2;6;3;12;6;1;96;48;5;9;4440680095338
LIG;9.1815;44.4084;39537;0.2;6;3;12;6;1;96;48;5;9;4440840091815
LIG;8.4118;44.4126;50145;0.2;6;3;12;6;1;96;48;5;9;4441260084118
LIG;8.4825;44.4158;20173;0.2;6;3;12;6;1;96;48;5;9;4441580084825
LIG;9.0091;44.4168;20209;0.2;6;3;12;6;1;96;48;5;9;4441680090091
LIG;9.3219;44.4211;39531;0.2;6;3;12;6;1;96;48;5;9;4442110093219
LIG;8.9726;44.4237;50111;0.2;6;3;12;6;1;96;48;5;9;4442370089726
LIG;9.2849;44.4242;50048;0.2;6;3;12;6;1;96;48;5;9;4442420092849
LIG;9.4101;44.4243;40008;0.2;6;3;12;6;1;96;48;5;9;4442430094101
LIG;8.9343;44.428;40026;0.2;6;3;12;6;1;96;48;5;9;4442800089343
LIG;9.0635;44.4285;39627;0.2;6;3;12;6;1;96;48;5;9;4442850090635
LIG;8.8246;44.4323;40030;0.2;6;3;12;6;1;96;48;5;9;4443230088246
LIG;8.7416;44.4343;20188;0.2;6;3;12;6;1;96;48;5;9;4443430087416
LIG;8.9611;44.4344;39562;0.2;6;3;12;6;1;96;48;5;9;4443440089611
LIG;9.1074;44.4385;20214;0.2;6;3;12;6;1;96;48;5;9;4443850091074
LIG;9.0472;44.4408;20216;0.2;6;3;12;6;1;96;48;5;9;4444080090472
LIG;8.8448;44.4425;20197;0.2;6;3;12;6;1;96;48;5;9;4444250088448
LIG;9.1699;44.4437;50046;0.2;6;3;12;6;1;96;48;5;9;4444370091699
LIG;8.8956;44.4553;20133;0.2;6;3;12;6;1;96;48;5;9;4445530088956
LIG;8.9796;44.4596;50108;0.2;6;3;12;6;1;96;48;5;9;4445960089796
LIG;9.3877;44.4611;40042;0.2;6;3;12;6;1;96;48;5;9;4446110093877
LIG;8.5809;44.4623;50166;0.2;6;3;12;6;1;96;48;5;9;4446230085809
LIG;9.3953;44.4627;39563;0.2;6;3;12;6;1;96;48;5;9;4446270093953
LIG;8.7049;44.4649;20184;0.2;6;3;12;6;1;96;48;5;9;4446490087049
LIG;9.0954;44.4678;39550;0.2;6;3;12;6;1;96;48;5;9;4446780090954
LIG;8.6274;44.4695;50091;0.2;6;3;12;6;1;96;48;5;9;4446950086274
LIG;8.7331;44.4742;39583;0.2;6;3;12;6;1;96;48;5;9;4447420087331
LIG;8.7332;44.4742;20186;0.2;6;3;12;6;1;96;48;5;9;4447420087332
LIG;9.0071;44.4751;20212;0.2;6;3;12;6;1;96;48;5;9;4447510090071
LIG;8.8;44.4801;50094;0.2;6;3;12;6;1;96;48;5;9;4448010088000
LIG;9.242;44.4822;50126;0.2;6;3;12;6;1;96;48;5;9;4448220092420
LIG;8.4857;44.4823;50179;0.2;6;3;12;6;1;96;48;5;9;4448230084857
LIG;8.9785;44.4856;20207;0.2;6;3;12;6;1;96;48;5;9;4448560089785
LIG;8.736;44.4861;40066;0.2;6;3;12;6;1;96;48;5;9;4448610087360
LIG;9.1821;44.4876;50043;0.2;6;3;12;6;1;96;48;5;9;4448760091821
LIG;9.3408;44.4883;50130;0.2;6;3;12;6;1;96;48;5;9;4448830093408
LIG;8.9001;44.4885;40032;0.2;6;3;12;6;1;96;48;5;9;4448850089001
LIG;9.1596;44.5168;50190;0.2;6;3;12;6;1;96;48;5;9;4451680091596
LIG;8.6731;44.5177;50040;0.2;6;3;12;6;1;96;48;5;9;4451770086731
LIG;8.9859;44.5201;39543;0.2;6;3;12;6;1;96;48;5;9;4452010089859
LIG;8.9474;44.5204;20205;0.2;6;3;12;6;1;96;48;5;9;4452040089474
LIG;8.8582;44.5301;20203;0.2;6;3;12;6;1;96;48;5;9;4453010088582
