ID_project;ID_lan;class_number;class_type;longitude;latitude;geo_acc;date;date_acc
LIG_0515;a;N1;NS;9.433918;44.449777;P1;20/02/2006 13:00;OD
LIG_0516;a;N1;NS;7.939686;43.854357;P2;18/09/2008 21:59;OD
LIG_0517;a;N1;FC;7.81055;43.83503;P1;28/10/2012 14:30;O
LIG_0519;a;N1;NS;8.464727;44.332158;P1;15/03/2011 13:50;OD
LIG_0520;a;N1;NS;8.044639;44.029428;P1;16/03/2011 00:50;OD
LIG_0521;a;N1;NS;8.267349;44.219841;P1;16/03/2011 02:20;OD
LIG_0522;a;N1;NS;8.494329;44.322778;P1;18/03/2011 07:30;OD
LIG_0525;a;N1;NS;8.26382;44.405317;P1;04/11/2011 08:30;OD
LIG_0526;a;N1;NS;8.344389;44.45644;P1;06/11/2011 21:40;OD
LIG_0527;a;N1;NS;8.564978;44.348646;P1;08/11/2011 20:10;OD
LIG_0528;a;N1;NS;8.386479;44.226909;P1;09/11/2011 09:10;OD
LIG_0529;a;N1;NS;8.285291;44.194546;P1;01/05/2012 08:10;OD
LIG_0530;a;N1;NS;8.258552;44.392933;P2;01/11/2012 09:50;OD
LIG_0531;a;N1;NS;8.259755;44.22211;P1;28/11/2012 15:30;OD
LIG_0532;a;N1;NS;8.305423;44.18;P1;29/11/2012 08:00;OD
LIG_0533;a;N1;NS;8.167829;44.123718;P1;08/03/2013 02:00;O
LIG_0534;a;N1;NS;8.515267;44.390379;P1;16/05/2013 07:50;OD
LIG_0535;a;N1;NS;8.542616;44.401491;P2;16/05/2013 09:50;OD
LIG_0536;a;N1;NS;8.322481;44.371616;P1;17/05/2013 13:25;OD
LIG_0537;a;N1;NS;8.542322;44.39835;P1;19/05/2013 04:30;OD
LIG_0538;a;N1;FC;8.492425;44.317767;P1;19/11/2013 14:00;OD
LIG_0539;a;N1;NS;8.355883;44.199488;P3;25/12/2013 16:15;OD
LIG_0540;a;N1;NS;8.615944;44.468662;P1;26/12/2013 08:45;OD
LIG_0541;a;N1;NS;8.482263;44.47063;P1;26/12/2013 14:50;OD
LIG_0542;a;N2;NS;8.471044;44.38639;P2;26/12/2013 16:20;OD
LIG_0543;a;N1;NS;8.433705;44.265423;P1;27/12/2013 09:15;OD
LIG_0544;a;N1;NS;8.271417;44.189895;P1;04/01/2014 09:20;OD
LIG_0546;a;N1;NS;8.598711;44.364293;P1;03/02/2014 02:15;OD
LIG_0547;a;N1;NS;8.467254;44.329634;P1;05/02/2014 19:10;OD
LIG_0548;a;N1;NS;8.464156;44.374063;P2;07/02/2014 11:35;OD
LIG_0549;a;N1;NS;8.163752;43.967891;P2;08/02/2014 19:45;OD
LIG_0550;a;N1;NS;8.478927;44.419199;P1;02/03/2014 23:20;OD
LIG_0551;a;N1;NS;8.32974;44.215047;P2;09/10/2014 18:50;OD
LIG_0552;a;N1;NS;8.441558;44.344215;P2;07/10/2014 13:20;OD
LIG_0553;a;N1;NS;8.199763;44.034882;P1;12/11/2014 08:15;OD
LIG_0554;a;N1;NS;8.221302;44.090441;P1;13/11/2014 17:00;OD
LIG_0555;a;N1;NS;8.503897;44.343735;P1;15/11/2014 06:45;OD
LIG_0556;a;N1;NS;8.225708;44.097619;P1;15/11/2014 10:30;OD
LIG_0557;a;N1;NS;8.525993;44.394806;P1;15/11/2014 15:00;OD
LIG_0558;a;N1;NS;8.451245;44.304767;P1;16/11/2014 06:00;OD
LIG_0559;a;N1;NS;8.62393;44.37905;P1;17/11/2014 12:20;OD
LIG_0560;a;N1;NS;8.488156;44.40037;P1;18/11/2014 16:20;OD
LIG_0562;a;N1;NS;8.08131;44.145036;P1;30/11/2014 11:45;OD
